service_id,date,exception_type
"10","20211213","2"
"10","20211220","2"
"10","20220103","2"
"10","20220110","2"
"10","20220117","2"
"10","20220124","2"
"10","20220131","2"
"10","20220207","2"
"10","20220214","2"
"10","20220221","2"
"10","20220228","2"
"10","20220307","2"
"10","20220314","2"
"10","20220321","2"
"10","20220328","2"
"10","20220404","2"
"10","20220411","2"
"10","20220418","2"
"10","20220425","2"
"10","20220502","2"
"10","20220509","2"
"10","20220516","2"
"10","20220523","2"
"10","20220530","2"
"10","20220606","2"
"10","20220613","2"
"10","20220620","2"
"10801","20211213","2"
"10801","20211220","2"
"10801","20211227","2"
"10801","20220110","2"
"10801","20220117","2"
"10801","20220124","2"
"10801","20220131","2"
"10801","20220207","2"
"10801","20220214","2"
"10801","20220221","2"
"10801","20220228","2"
"10801","20220307","2"
"10801","20220314","2"
"10801","20220321","2"
"10801","20220328","2"
"10801","20220404","2"
"10801","20220411","2"
"10801","20220425","2"
"10801","20220509","2"
"10801","20220516","2"
"10801","20220523","2"
"10804","20211216","2"
"10804","20211223","2"
"10804","20211230","2"
"10804","20220106","2"
"10804","20220113","2"
"10804","20220120","2"
"10804","20220127","2"
"10804","20220203","2"
"10804","20220210","2"
"10804","20220217","2"
"10804","20220224","2"
"10804","20220303","2"
"10804","20220310","2"
"10804","20220324","2"
"10804","20220331","2"
"10804","20220407","2"
"10804","20220414","2"
"10804","20220421","2"
"10804","20220428","2"
"10804","20220505","2"
"10804","20220512","2"
"10804","20220519","2"
"10804","20220526","2"
"10806","20211218","2"
"10806","20211225","2"
"10806","20220108","2"
"10806","20220115","2"
"10806","20220122","2"
"10806","20220129","2"
"10806","20220205","2"
"10806","20220212","2"
"10806","20220219","2"
"10806","20220226","2"
"10806","20220305","2"
"10806","20220312","2"
"10806","20220319","2"
"10806","20220326","2"
"10806","20220402","2"
"10806","20220409","2"
"10806","20220416","2"
"10806","20220423","2"
"10806","20220430","2"
"10806","20220507","2"
"10806","20220514","2"
"10806","20220521","2"
"10806","20220528","2"
"10807#1","20211226","2"
"10811#1","20211227","2"
"10811#1","20220103","2"
"10811#1","20220221","2"
"10811#1","20220411","2"
"10811#1","20220418","2"
"10811#1","20220502","2"
"10812#1","20211228","2"
"10812#1","20220104","2"
"10812#1","20220222","2"
"10812#1","20220412","2"
"10812#1","20220419","2"
"10823#1","20211229","2"
"10823#1","20220105","2"
"10823#1","20220223","2"
"10823#1","20220413","2"
"10823#1","20220420","2"
"10834#1","20211223","2"
"10834#1","20211230","2"
"10834#1","20220224","2"
"10834#1","20220317","2"
"10834#1","20220414","2"
"10834#1","20220421","2"
"10845#1","20211224","2"
"10845#1","20211231","2"
"10845#1","20220225","2"
"10845#1","20220415","2"
"10845#1","20220422","2"
"10856#1","20211225","2"
"10856#1","20220101","2"
"10864","20211216","2"
"10864","20211230","2"
"10864","20220106","2"
"10864","20220113","2"
"10864","20220120","2"
"10864","20220127","2"
"10864","20220203","2"
"10864","20220210","2"
"10864","20220217","2"
"10864","20220303","2"
"10864","20220310","2"
"10864","20220317","2"
"10864","20220324","2"
"10864","20220331","2"
"10864","20220407","2"
"10864","20220428","2"
"10864","20220505","2"
"10864","20220512","2"
"10864","20220519","2"
"10864","20220526","2"
"10875","20211217","2"
"10875","20211224","2"
"10875","20211231","2"
"10875","20220107","2"
"10875","20220114","2"
"10875","20220121","2"
"10875","20220128","2"
"10875","20220204","2"
"10875","20220211","2"
"10875","20220218","2"
"10875","20220304","2"
"10875","20220311","2"
"10875","20220318","2"
"10875","20220325","2"
"10875","20220401","2"
"10875","20220408","2"
"10875","20220429","2"
"10875","20220506","2"
"10875","20220513","2"
"10875","20220520","2"
"10875","20220527","2"
"10891","20211213","2"
"10891","20211220","2"
"10891","20211227","2"
"10891","20220103","2"
"10891","20220110","2"
"10891","20220117","2"
"10891","20220124","2"
