stop_id,stop_name,stop_lat,stop_lon
"822GA00034","Marlborough","53.349244873455","-6.25773158174384"
"822GA00035","Trinity College, Trinity","53.345279750127","-6.25825374630143"
"822GA00058","St.Stephen's Green","53.3391287089754","-6.26111748798399"
"822GA00062","Harcourt","53.3336509121052","-6.26269173695201"
"822GA00070","Charlemont","53.3306152452507","-6.25853598870761"
"822GA00071","Charlemont","53.3308338990299","-6.25873728482871"
"822GA00074","Ranelagh","53.3261398226374","-6.25612105038529"
"822GA00075","Ranelagh","53.3261319365781","-6.25619643649449"
"822GA00083","Beechwood","53.3209234117257","-6.25466755130781"
"822GA00084","Beechwood","53.3209317359514","-6.25462217836102"
"822GA00275","Cowper","53.3163934083477","-6.25344151996887"
"822GA00276","Cowper","53.3164010731427","-6.25335115008755"
"822GA00278","Milltown","53.3096724384248","-6.25174998445436"
"822GA00279","Milltown","53.3096715589924","-6.2516899918998"
"822GA00356","Kylemore","53.3265889562733","-6.34376337103715"
"822GA00357","Kylemore","53.3266344972539","-6.34380664554675"
"822GA00360","Bluebell","53.3292817872848","-6.33382500275913"
"822GA00361","Bluebell","53.3293185582226","-6.33388362503051"
"822GA00363","Blackhorse","53.3342630170616","-6.32753451321291"
"822GA00364","Blackhorse","53.3342993702968","-6.32756312200431"
"822GA00366","Drimnagh","53.3353461945094","-6.31827231820974"
"822GA00367","Drimnagh","53.335391321414","-6.31828555865664"
"822GA00369","Goldenbridge","53.3359142851229","-6.31330963762208"
"822GA00370","Goldenbridge","53.3359596247184","-6.31333788082313"
"822GA00372","Suir Road","53.3365921771546","-6.30723125795761"
"822GA00373","Suir Road","53.3366375181369","-6.307259495111"
"822GA00375","Rialto","53.3378991889529","-6.29738845667394"
"822GA00376","Rialto","53.3379445321794","-6.29741668416627"
"822GA00378","Fatima","53.3384174486802","-6.29277257068145"
"822GA00379","Fatima","53.338462578185","-6.29278578501984"
"822GA00381","James's","53.341812608786","-6.29323766222319"
"822GA00382","James's","53.3417777506246","-6.29331414603483"
"822GA00386","Heuston","53.3466812805486","-6.29178148979062"
"822GA00387","Heuston","53.3466823551431","-6.29185654699592"
"822GA00389","Museum","53.3478792135231","-6.28694206472106"
"822GA00390","Museum","53.3479153606749","-6.28695563578203"
"822GA00398","Smithfield","53.3471135023706","-6.27808080493654"
"822GA00399","Smithfield","53.3471496504727","-6.27809436824864"
"822GA00401","Four Courts","53.3468518865036","-6.27366041080427"
"822GA00402","Four Courts","53.3468876006718","-6.27364394754555"
"822GA00404","Jervis","53.347683006807","-6.26527546402981"
